时间戳 (Timestamp),日志级别 (Level),事件/动作 (Action),报文原文 (Original Message),内容解析 (Content Analysis)
2024-11-16 00:00:39.711,DEBUG,"0.0.0.0桩没有充电枪口,将桩设置成空闲状态.",,无报文
2024-11-16 00:00:39.866,DEBUG,生成时间等待任务:32,,无报文
2024-11-16 00:00:39.893,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-02-01-1f-90-1f-b6-2f-b6-d2-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:00:42.671,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-12-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-e3-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:00:42.671,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-13-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d6-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:00:49.778,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-06-00-00-00-00-82-01-82-69-16,"控制码: 01 (下发: 读当前数据), 数据长度: 6 字节, 终端地址: 760000000415"
2024-11-16 00:00:59.945,DEBUG,"超时2次,不执行任务了",,无报文
2024-11-16 00:01:58.403,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-19-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-ea-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:01:58.404,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-1a-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-dd-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:03:13.510,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-02-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-c5-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
